TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Location,TimePoint,Date,Size
1320,FS,14,7,1,1,1320_1,Face,0,4/09/2020,5.075
1320,FS,14,7,1,2,1320_2,Face,0,4/09/2020,1.223
1320,FS,14,7,1,3,1320_3,Face,0,4/09/2020,1.027
1320,FS,14,7,1,4,1320_4,Face,0,4/09/2020,1.216
1320,FS,14,7,1,5,1320_5,Face,0,4/09/2020,2.529
1369,FS,14,7,1,1,1369_1,Side,0,4/09/2020,2.535
1098,FF,15,8,1,1,1098_1,Side,0,4/09/2020,5.716
1098,FF,15,8,1,3,1098_3,Side,0,4/09/2020,8.423
1098,FF,15,8,1,4,1098_4,Side,0,4/09/2020,4.338
1098,FF,15,8,1,8,1098_8,Side,0,4/09/2020,0.851
1098,FF,15,8,1,9,1098_9,Side,0,4/09/2020,1.602
1098,FF,15,8,1,10,1098_10,Side,0,4/09/2020,1.519
1624,SS,15,8,1,1,1624_1,Face,0,4/09/2020,2.132
1058,FF,15,8,1,1,1058_1,Side,0,4/09/2020,3.755
1058,FF,15,8,1,2,1058_2,Side,0,4/09/2020,6.615
1058,FF,15,8,1,3,1058_3,Side,0,4/09/2020,3.319
1058,FF,15,8,1,4,1058_4,Side,0,4/09/2020,1.649
1385,FS,15,8,1,1,1385_1,Face,0,4/09/2020,6.398
1651,SS,17,9,2,1,1651_1,Side,0,4/09/2020,23.577
1651,SS,17,9,2,2,1651_2,Side,0,4/09/2020,21.549
1651,SS,17,9,2,3,1651_3,Side,0,4/09/2020,2.7
1018,FF,17,9,2,1,1018_1,Face,0,4/09/2020,1.882
1644,SS,18,9,2,1,1644_1,Side,0,4/09/2020,5.275
1644,SS,18,9,2,2,1644_2,Side,0,4/09/2020,6.679
1377,FS,18,9,2,1,1377_1,Side,0,4/09/2020,7.862
1305,FS,18,9,2,1,1305_1,Side,0,4/09/2020,NA
1305,FS,18,9,2,2,1305_2,Side,0,4/09/2020,NA
1305,FS,18,9,2,3,1305_3,Face,0,4/09/2020,5.898
1151,FF,18,9,2,1,1151_1,Side,0,4/09/2020,2.838
1362,FS,19,10,2,1,1362_1,Side,0,4/09/2020,1.69
1044,FF,19,10,2,1,1044_1,Side,0,4/09/2020,22.638
1144,FF,19,10,2,1,1144_1,Side,0,4/09/2020,5.447
1144,FF,19,10,2,2,1144_2,Side,0,4/09/2020,83.441
1139,FF,20,10,2,1,1139_1,Face,0,4/09/2020,1.832
1665,SS,21,11,2,1,1665_1,Side,0,4/09/2020,186.534
1665,SS,21,11,2,2,1665_2,Side,0,4/09/2020,35.67
1665,SS,21,11,2,3,1665_3,Side,0,4/09/2020,30.482
1401,SF,21,11,2,1,1401_1,Side,0,4/09/2020,23.105
1705,SS,21,11,2,1,1705_1,Side,0,4/09/2020,50.921
1705,SS,21,11,2,2,1705_2,Side,0,4/09/2020,15.559
1705,SS,21,11,2,4,1705_4,Side,0,4/09/2020,64.185
1705,SS,21,11,2,5,1705_5,Face,0,4/09/2020,3.994
1705,SS,21,11,2,6,1705_6,Face,0,4/09/2020,15.77
1705,SS,21,11,2,7,1705_7,Face,0,4/09/2020,6.864
1276,FS,21,11,2,1,1276_1,Side,0,4/09/2020,2.076
1684,SS,22,11,2,1,1684_1,Face,0,4/09/2020,3.015
1684,SS,22,11,2,2,1684_2,Face,0,4/09/2020,6.121
1292,FS,22,11,2,1,1292_1,Side,0,4/09/2020,NA
1233,FS,22,11,2,1,1233_1,Face,0,4/09/2020,2.332
1027,FF,22,11,2,1,1027_1,Side,0,4/09/2020,6.28
1027,FF,22,11,2,2,1027_2,Side,0,4/09/2020,17.466
1370,FS,23,12,2,1,1370_1,Side,0,4/09/2020,2.647
1370,FS,23,12,2,2,1370_2,Side,0,4/09/2020,4.771
1370,FS,23,12,2,3,1370_3,Side,0,4/09/2020,6.071
1370,FS,23,12,2,4,1370_4,Side,0,4/09/2020,2.728
1370,FS,23,12,2,5,1370_5,Side,0,4/09/2020,2.023
1370,FS,23,12,2,6,1370_6,Side,0,4/09/2020,3.62
1370,FS,23,12,2,7,1370_7,Side,0,4/09/2020,1.884
1370,FS,23,12,2,8,1370_8,Side,0,4/09/2020,3.037
1446,SF,23,12,2,1,1446_1,Face,0,4/09/2020,1.795
1760,SS,23,12,2,1,1760_1,Side,0,4/09/2020,11.442
1071,FF,24,12,2,1,1071_1,Side,0,4/09/2020,4.918
1389,FS,25,13,2,1,1389_1,Side,0,4/09/2020,2.07
1389,FS,25,13,2,2,1389_2,Side,0,4/09/2020,2.947
1389,FS,25,13,2,4,1389_4,Face,0,4/09/2020,5.131
1156,FF,25,13,2,1,1156_1,Side,0,4/09/2020,1.976
3713,SS,25,13,2,1,3713_1,Side,0,4/09/2020,2.597
3302,FS,25,13,2,1,3302_1,Top,0,4/09/2020,13.305
3302,FS,25,13,2,2,3302_2,Top,0,4/09/2020,6.741
3302,FS,25,13,2,3,3302_3,Face,0,4/09/2020,NA
1658,SS,25,13,2,1,1658_1,Side,0,4/09/2020,11.944
1461,SF,26,13,2,1,1461_1,Face,0,4/09/2020,3.545
1461,SF,26,13,2,2,1461_2,Face,0,4/09/2020,3.93
1461,SF,26,13,2,3,1461_3,Face,0,4/09/2020,3.594
1416,SF,26,13,2,1,1416_1,Face,0,4/09/2020,2.196
1416,SF,26,13,2,3,1416_3,Face,0,4/09/2020,1.836
1416,SF,26,13,2,4,1416_4,Face,0,4/09/2020,1.924
1247,FS,26,13,2,1,1247_1,Side,0,4/09/2020,NA
1349,FS,27,14,2,1,1349_1,Side,0,4/09/2020,NA
1615,SS,29,15,2,1,1615_1,Side,0,4/09/2020,15.937
1437,SF,29,15,2,1,1437_1,Side,0,4/09/2020,3.074
1283,FS,29,15,2,1,1283_1,Face,0,4/09/2020,15.616
1283,FS,29,15,2,2,1283_2,Face,0,4/09/2020,43.166
1283,FS,29,15,2,3,1283_3,Face,0,4/09/2020,36.707
1283,FS,29,15,2,4,1283_4,Face,0,4/09/2020,2.79
1283,FS,30,15,2,5,1283_5,Face,0,4/09/2020,22.812
1700,SS,30,15,2,1,1700_1,Face,0,4/09/2020,3.665
1786,SS,30,15,2,1,1786_1,Side,0,4/09/2020,NA
1786,SS,30,15,2,2,1786_2,Face,0,4/09/2020,2.356
