TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Health,Location,TimePoint,Date,Survival,Colour,RelativeGrey,Month
3709,SS,12,6,1,2,3709_2,Good,Face,0,2020-09-04,1,NA,NA,Sep-20
1769,SS,13,7,1,1,1769_1,Good,Side,0,2020-09-04,1,9.32,1,Sep-20
1769,SS,13,7,1,2,1769_2,Good,Side,0,2020-09-04,1,8.948,1,Sep-20
1105,FF,13,7,1,1,1105_1,Good,Face,0,2020-09-04,1,9.015,1,Sep-20
1320,FS,14,7,1,1,1320_1,Good,Face,0,2020-09-04,1,8.78,1,Sep-20
1320,FS,14,7,1,2,1320_2,Good,Face,0,2020-09-04,1,8,1,Sep-20
1320,FS,14,7,1,3,1320_3,Good,Face,0,2020-09-04,1,8.6,1,Sep-20
1320,FS,14,7,1,4,1320_4,Good,Face,0,2020-09-04,1,7.741,1,Sep-20
1320,FS,14,7,1,5,1320_5,Good,Face,0,2020-09-04,1,9.184,1,Sep-20
1369,FS,14,7,1,1,1369_1,Good,Side,0,2020-09-04,1,7.87,1,Sep-20
1098,FF,15,8,1,1,1098_1,Good,Side,0,2020-09-04,1,8.59,1,Sep-20
1098,FF,15,8,1,3,1098_3,Good,Side,0,2020-09-04,1,8.517,1,Sep-20
1098,FF,15,8,1,4,1098_4,Good,Side,0,2020-09-04,1,9.004,1,Sep-20
1098,FF,15,8,1,8,1098_8,Good,Side,0,2020-09-04,1,8.989,1,Sep-20
1098,FF,15,8,1,9,1098_9,Good,Side,0,2020-09-04,1,9.182,1,Sep-20
1098,FF,15,8,1,10,1098_10,Good,Side,0,2020-09-04,1,9.268,1,Sep-20
1624,SS,15,8,1,1,1624_1,Good,Face,0,2020-09-04,1,8.212,1,Sep-20
1058,FF,15,8,1,1,1058_1,Good,Side,0,2020-09-04,1,9.602,1,Sep-20
1058,FF,15,8,1,2,1058_2,Good,Side,0,2020-09-04,1,8.793,1,Sep-20
1058,FF,15,8,1,3,1058_3,Good,Side,0,2020-09-04,1,9.598,1,Sep-20
1058,FF,15,8,1,4,1058_4,Good,Side,0,2020-09-04,1,9.639,1,Sep-20
1385,FS,15,8,1,1,1385_1,Good,Face,0,2020-09-04,1,8.338,1,Sep-20
1651,SS,17,9,2,1,1651_1,Good,Side,0,2020-09-04,1,8.454,1,Sep-20
1651,SS,17,9,2,2,1651_2,Good,Side,0,2020-09-04,1,8.287,1,Sep-20
1651,SS,17,9,2,3,1651_3,Good,Side,0,2020-09-04,1,8.716,1,Sep-20
1018,FF,17,9,2,1,1018_1,Good,Face,0,2020-09-04,1,7.847,1,Sep-20
1644,SS,18,9,2,1,1644_1,Good,Side,0,2020-09-04,1,7.737,1,Sep-20
1644,SS,18,9,2,2,1644_2,Good,Side,0,2020-09-04,1,8.221,1,Sep-20
1377,FS,18,9,2,1,1377_1,Good,Side,0,2020-09-04,1,8.242,1,Sep-20
1305,FS,18,9,2,1,1305_1,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1305,FS,18,9,2,2,1305_2,Good,Side,0,2020-09-04,1,NA,NA,Sep-20
1305,FS,18,9,2,3,1305_3,Good,Face,0,2020-09-04,1,8.198,1,Sep-20
1151,FF,18,9,2,1,1151_1,Good,Side,0,2020-09-04,1,8.677,1,Sep-20
1362,FS,19,10,2,1,1362_1,Good,Side,0,2020-09-04,1,7.922,1,Sep-20
1044,FF,19,10,2,1,1044_1,Good,Side,0,2020-09-04,1,8.033,1,Sep-20
1144,FF,19,10,2,1,1144_1,Good,Side,0,2020-09-04,1,7.807,1,Sep-20
1144,FF,19,10,2,2,1144_2,Good,Side,0,2020-09-04,1,7.557,1,Sep-20
1139,FF,20,10,2,1,1139_1,Good,Face,0,2020-09-04,1,8.071,1,Sep-20
1665,SS,21,11,2,1,1665_1,Good,Side,0,2020-09-04,1,8.723,1,Sep-20
1665,SS,21,11,2,2,1665_2,Good,Side,0,2020-09-04,1,8.662,1,Sep-20
1665,SS,21,11,2,3,1665_3,Good,Side,0,2020-09-04,1,9.021,1,Sep-20
1401,SF,21,11,2,1,1401_1,Good,Side,0,2020-09-04,1,8.055,1,Sep-20
1705,SS,21,11,2,1,1705_1,Good,Side,0,2020-09-04,1,7.383,1,Sep-20
1705,SS,21,11,2,2,1705_2,Good,Side,0,2020-09-04,1,7.341,1,Sep-20
1705,SS,21,11,2,4,1705_4,Good,Side,0,2020-09-04,1,7.317,1,Sep-20
1705,SS,21,11,2,5,1705_5,Good,Face,0,2020-09-04,1,8.145,1,Sep-20
1705,SS,21,11,2,6,1705_6,Good,Face,0,2020-09-04,1,8.541,1,Sep-20
1705,SS,21,11,2,7,1705_7,Good,Face,0,2020-09-04,1,8.399,1,Sep-20
1276,FS,21,11,2,1,1276_1,Good,Side,0,2020-09-04,1,7.977,1,Sep-20
1684,SS,22,11,2,1,1684_1,Good,Face,0,2020-09-04,1,8.402,1,Sep-20
1684,SS,22,11,2,2,1684_2,Good,Face,0,2020-09-04,1,8.698,1,Sep-20
1292,FS,22,11,2,1,1292_1,Good,Side,0,2020-09-04,1,7.936,1,Sep-20
1233,FS,22,11,2,1,1233_1,Good,Face,0,2020-09-04,1,7.635,1,Sep-20
1027,FF,22,11,2,1,1027_1,Good,Side,0,2020-09-04,1,8.435,1,Sep-20
1027,FF,22,11,2,2,1027_2,Good,Side,0,2020-09-04,1,8.515,1,Sep-20
1370,FS,23,12,2,1,1370_1,Good,Side,0,2020-09-04,1,8.59,1,Sep-20
1370,FS,23,12,2,2,1370_2,Good,Side,0,2020-09-04,1,8.872,1,Sep-20
1370,FS,23,12,2,3,1370_3,Good,Side,0,2020-09-04,1,8.518,1,Sep-20
1370,FS,23,12,2,4,1370_4,Good,Side,0,2020-09-04,1,8.6,1,Sep-20
